domain,problem,mode,status,wall_time_seconds,last_completed_phase,total_seconds,problem_reading_seconds,pnf_translation_seconds,symmetry_discovery_seconds,resource_detection_seconds,abstraction_seconds,abstract_pddl_writing_seconds,concrete_fd_seconds,abstract_fd_seconds,lama_fd_seconds,concrete_asp_seconds,abstract_asp_seconds,abstract_solving_seconds,guided_concrete_solving_seconds,extended_concrete_solving_seconds,verdict,plan_valid,relaxed_deletes,relaxed_inequalities,decrements,increments,abstract_plan_length,plan_length,abstract_solve_calls,concrete_solve_calls,abstracted_object_count,abstracted_object_type,error_message
freecell,probfreecell-2-2.pddl,concrete,success,12.213594678789377,total,10.006519,,,,,,,0.589401,,,0.253406,,,9.128413,,,valid,,,,,,8,,9,,,
freecell,probfreecell-2-2.pddl,lama,success,2.896147321909666,total,0.666773,,,,,,,,,0.656901,,,,,,,valid,,,,,,8,,,,,
freecell,probfreecell-2-3.pddl,abstract,success,9.150177549570799,total,7.329225,0.312933,0.004364,,2.717691,0.039115,0.062995,0.589418,0.207832,,0.269692,0.011966,0.093554,2.930567,,,,18,0,5,0,5,11,6,6,14,object,
freecell,probfreecell-2-3.pddl,concrete,success,12.952093183994293,total,10.727259,,,,,,,0.614139,,,0.256593,,,9.818677,,,valid,,,,,,8,,9,,,
freecell,probfreecell-2-3.pddl,lama,success,3.2527113407850266,total,0.692644,,,,,,,,,0.68556,,,,,,,valid,,,,,,8,,,,,
freecell,probfreecell-2-4.pddl,abstract,success,10.003512475639582,total,7.26604,0.33482,0.004246,,2.667201,0.037173,0.061018,0.652995,0.21339,,0.275936,0.012092,0.082404,2.850318,,,,18,0,5,0,5,10,6,6,14,object,
freecell,probfreecell-2-4.pddl,concrete,success,18.641987450420856,total,16.418425,,,,,,,0.592043,,,0.25662,,,15.533162,,,valid,,,,,,8,,9,,,
freecell,probfreecell-2-4.pddl,lama,success,2.864853024482727,total,0.666102,,,,,,,,,0.657931,,,,,,,valid,,,,,,8,,,,,
freecell,probfreecell-2-5.pddl,abstract,success,15.956909202039242,total,14.223234,0.292398,0.004242,,2.703594,0.037199,0.061275,0.581241,0.203255,,0.268034,0.012132,0.073063,9.903801,,,,18,0,4,0,4,9,5,5,14,object,
freecell,probfreecell-2-5.pddl,concrete,success,37.37026720494032,total,34.919995,,,,,,,0.588796,,,0.256503,,,34.031959,,,valid,,,,,,9,,10,,,
freecell,probfreecell-2-5.pddl,lama,success,2.840406149625778,total,0.667031,,,,,,,,,0.660486,,,,,,,valid,,,,,,9,,,,,
