domain,problem,mode,status,wall_time_seconds,last_completed_phase,total_seconds,problem_reading_seconds,pnf_translation_seconds,symmetry_discovery_seconds,abstraction_seconds,abstract_pddl_writing_seconds,concrete_fd_seconds,abstract_fd_seconds,concrete_asp_seconds,abstract_asp_seconds,abstract_solving_seconds,guided_concrete_solving_seconds,extended_concrete_solving_seconds,verdict,horizon,plan_length,relaxed_deletes,relaxed_inequalities,decrements,increments,abstract_horizon,final_horizon,abstract_solve_calls,concrete_solve_calls,abstracted_object_count,abstracted_object_type,error_message
cave-diving,prob03.pddl,concrete,success,2.2729032579809427,total,0.488004,,,,,,0.482042,,,,,,,unsolvable,,,,,,,,,,,,,
cave-diving,prob04.pddl,abstract,success,2.391594834625721,total,0.584752,0.17332,0.002873,0.125521,0.00814,0.017701,,0.211844,,,,,,unknown,,,9,0,,,,,,,2,diver,
cave-diving,prob04.pddl,concrete,success,2.020696682855487,total,0.248288,,,,,,0.242094,,,,,,,unsolvable,,,,,,,,,,,,,
cave-diving,prob05.pddl,abstract,success,2.4205551631748676,total,0.581948,0.18014,0.002802,0.13114,0.014159,0.016549,,0.198574,,,,,,unsolvable,,,9,0,,,,,,,2,diver,
cave-diving,prob05.pddl,concrete,success,1.9718543039634824,total,0.214431,,,,,,0.210315,,,,,,,unsolvable,,,,,,,,,,,,,
cave-diving,prob06.pddl,abstract,success,4.661677394993603,total,2.821337,0.212298,0.003167,0.245261,0.012083,0.027519,,2.282586,,,,,,unknown,,,11,0,,,,,,,4,diver,
cave-diving,prob06.pddl,concrete,interrupted,409.1371647566557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cave-diving,prob07.pddl,abstract,success,55.29951755423099,total,53.483493,0.193206,0.003181,0.204105,0.011928,0.024792,,53.014903,,,,,,unknown,,,11,0,,,,,,,4,diver,
cave-diving,prob07.pddl,concrete,interrupted,400.5193627346307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cave-diving,prob08.pddl,abstract,success,4.263843294233084,total,2.418936,0.192991,0.003123,0.169143,0.011361,0.021786,,1.976854,,,,,,unknown,,,11,0,,,,,,,4,diver,
cave-diving,prob08.pddl,concrete,interrupted,441.8163908207789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cave-diving,prob09.pddl,abstract,success,3.378721807152033,total,1.533297,0.187455,0.003088,0.145803,0.011032,0.020124,,1.127709,,,,,,unknown,,,11,0,,,,,,,4,diver,
